tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes,chart_label_en,layer_1,layer_2,layer_3,layer_4,classification_notes,display_explanation,chart_include,chart_revenue_eur,chart_revenue_pct_gdp,netted_adjustments_eur,netting_notes
Erbschaftsteuer,Inheritance tax,Tax on inheritances and lifetime gifts.,9991000000,0.232063,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D91A; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Inheritance tax,Wealth,Inheritance and gifts,Inheritance and gift taxes,,Direct UK equivalent: inheritance tax.,Tax on inheritances and lifetime gifts.,yes,9991000000,0.232063,0,
Nationale CO2 - Abgabe,National CO2 levy,National carbon levy on fossil fuels.,10956000000,0.254477,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29F; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",National CO2 levy,Environmental,Carbon and emissions taxes,Carbon levies,,Carbon-pricing levy.,National carbon levy on fossil fuels.,yes,10956000000,0.254477,0,
Emissionsberechtigungen,Emissions allowances,Revenue from auctioning emissions allowances.,7672000000,0.178199,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29F; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Emissions allowances,Environmental,Carbon and emissions taxes,Emissions trading,,UK-equivalent treatment: emissions-auction receipts sit with environmental taxes.,Revenue from auctioning emissions allowances.,yes,7672000000,0.178199,0,
Förderzahlungen Offshore-Netzumlage,Offshore grid levy,Levy used to fund offshore electricity-grid costs.,2186000000,0.050775,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C17; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Offshore grid levy,Environmental,Energy-transition levies,Electricity-system levies,,Energy-transition levy treated as an environmental/energy item.,Levy used to fund offshore electricity-grid costs.,yes,2186000000,0.050775,0,
Förderzahlungen nach KWKG,CHP levy,Levy used to fund combined heat and power support.,929000000,0.021578,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C16; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",CHP levy,Environmental,Energy-transition levies,Electricity-system levies,,Energy-transition levy treated as an environmental/energy item.,Levy used to fund combined heat and power support.,yes,929000000,0.021578,0,
Lohnsteuer; Veranlagte Einkommensteuer; Kapitalertragsteuer und Zinsabschlag; Körperschaftsteuer,Solidarity surcharge,"Surcharge on income tax, capital income tax and corporation tax.",444462000000,10.323601,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C01; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C02; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C03; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C02; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C01; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts; sheet 3u4 weitere Angaben; Solidaritätszuschlag insgesamt.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; The same amount is netted out of the relevant Eurostat income, capital-income and corporation-tax lines so the chart still reconciles to the Eurostat control total.",Solidarity surcharge,Other,Income-tax surcharges,Solidarity surcharge,,Statutory tax shown separately using BMF 2024 cash receipts; Eurostat does not list it as a separate Germany NTL row.,"Surcharge on income tax, capital income tax and corporation tax.",yes,12634294172,0.293459,0,
sonstige Verbrauchsteuern,Other federal taxes,Other very small federal taxes.,3000000,0.000070,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214A; DETAILS C12; 2024; Bundesministerium der Finanzen, 2024 cash tax receipts, used only to split an equivalent Eurostat control line.","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.; Allocated from the Eurostat row using BMF cash receipt share for sonstige Bundessteuern: EUR 3,908.",Other federal taxes,Other,Other small taxes,Other federal taxes,sonstige Bundessteuern,Eurostat groups these very small taxes; BMF 2024 cash receipts are used to split the Eurostat control total.,Other very small federal taxes.,yes,5414,0.000000,0,
Hundesteuer,Dog tax,Local tax on dog ownership.,430000000,0.009988,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Dog tax,Other,Small local taxes,Household local taxes,,German-specific local tax.,Local tax on dog ownership.,yes,430000000,0.009988,0,
Jagd- und Fischereisteuer,Hunting and fishing tax,Local hunting and fishing tax.,7000000,0.000163,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Hunt/fishing tax,Other,Small local taxes,Household local taxes,,Local licence-related tax.,Local hunting and fishing tax.,yes,7000000,0.000163,0,
übrige Gemeindesteuern,Other municipal taxes,Other small municipal taxes not separately identified in the source table.,216800000,0.005036,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D214L; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Other municipal taxes,Other,Small local taxes,Other municipal taxes,,Small residual local taxes retained because Eurostat records them as tax revenue.,"Residual catch-all of small municipal taxes after separately showing Übernachtungsteuer, Zweitwohnungsteuer, Verpackungsteuer, Pferdesteuer and Schankerlaubnissteuer.",yes,216800000,0.005036,-352200000,"Reduced by €352,200,000 reallocated to Übernachtungsteuer, Zweitwohnungsteuer, Verpackungsteuer, Pferdesteuer and Schankerlaubnissteuer (each shown separately)."
Verwaltungsgebühren von Unternehmen; Verwaltungsgebühren von privaten Haushalten,Administrative fees,Administrative charges treated as tax revenue in the national accounts.,801000000,0.018605,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29E; DETAILS C01; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59F; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Administrative fees,Other,Tax-like fees and charges,Administrative fees,,Included because Eurostat records the receipts as taxes in the national accounts.,Administrative charges treated as tax revenue in the national accounts.,yes,801000000,0.018605,0,
Rundfunkbeitrag der Unternehmen; Rundfunkbeitrag der privaten Haushalte,Broadcasting contribution,Compulsory broadcasting contribution paid by households and businesses.,8381000000,0.194667,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29H; DETAILS C05; 2024; Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59F; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Broadcasting charge,Other,Tax-like fees and charges,Broadcasting contribution,,Compulsory contribution recorded as tax revenue by Eurostat.,Compulsory broadcasting contribution paid by households and businesses.,yes,8381000000,0.194667,0,
Steuerähnliche Einnahmen,Tax-like receipts,Tax-like receipts recorded as production taxes in the national accounts.,1774000000,0.041205,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D29H; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope.",Tax-like receipts,Other,Tax-like fees and charges,Tax-like receipts,,Included because Eurostat records the receipts as taxes in the national accounts.,Tax-like receipts recorded as production taxes in the national accounts.,yes,1774000000,0.041205,0,
Übernachtungsteuer,Overnight-stay tax,"Local city tax on hotel and other paid overnight stays (also called Bettensteuer, Kulturförderabgabe, Beherbergungsteuer).",200000000,0.004645,TPA estimate from public 2024 city-/Land-level reports; previously bundled inside Eurostat Übrige Gemeindesteuern (D214L C01) and reallocated for this chart to avoid undercounting named taxes.,Reallocated from the Eurostat Übrige Gemeindesteuern aggregate so each named local tax is counted separately.,Overnight-stay tax,Goods/services,"Betting, gaming and entertainment",Entertainment taxes,,Local consumption tax on tourism accommodation.,"Local city tax on paid overnight stays; levied by Berlin, Hamburg, Köln, Frankfurt, Hannover and many other cities.",yes,200000000,0.004645,0,
Zweitwohnungsteuer,Second-home tax,Local tax on ownership or rental of a second home.,150000000,0.003484,TPA estimate from public 2024 city-/Land-level reports; previously bundled inside Eurostat Übrige Gemeindesteuern (D214L C01) and reallocated for this chart to avoid undercounting named taxes.,Reallocated from the Eurostat Übrige Gemeindesteuern aggregate so each named local tax is counted separately.,Second-home tax,Land,Recurrent land and property taxes,Property taxes,,Local recurrent tax on second residences.,"Local tax on second homes, levied in Berlin, Hamburg, Munich and many university towns.",yes,150000000,0.003484,0,
Verpackungsteuer,Packaging tax,"Local tax on single-use packaging (Tübingen model, upheld by the Bundesverfassungsgericht in 2024).",1000000,0.000023,TPA estimate from public 2024 city-/Land-level reports; previously bundled inside Eurostat Übrige Gemeindesteuern (D214L C01) and reallocated for this chart to avoid undercounting named taxes.,Reallocated from the Eurostat Übrige Gemeindesteuern aggregate so each named local tax is counted separately.,Packaging tax,Environmental,Waste and pollution,Packaging taxes,,Local environmental tax on single-use packaging.,Local tax on single-use packaging; introduced by Tübingen and upheld by the German Constitutional Court in 2024.,yes,1000000,0.000023,0,
Pferdesteuer,Horse tax,Local tax on horse ownership and use.,200000,0.000005,TPA estimate from public 2024 city-/Land-level reports; previously bundled inside Eurostat Übrige Gemeindesteuern (D214L C01) and reallocated for this chart to avoid undercounting named taxes.,Reallocated from the Eurostat Übrige Gemeindesteuern aggregate so each named local tax is counted separately.,Horse tax,Other,Small local taxes,Household local taxes,,Very small local tax in a handful of municipalities (e.g. Bad Sooden-Allendorf).,"Local tax on horses, levied by a small number of municipalities.",yes,200000,0.000005,0,
Schankerlaubnissteuer,Drinks-licence tax,Local tax payable on grant of a licence to serve alcohol.,1000000,0.000023,TPA estimate from public 2024 city-/Land-level reports; previously bundled inside Eurostat Übrige Gemeindesteuern (D214L C01) and reallocated for this chart to avoid undercounting named taxes.,Reallocated from the Eurostat Übrige Gemeindesteuern aggregate so each named local tax is counted separately.,Drinks-licence tax,Other,Small local taxes,Business local taxes,,Local one-off tax on grant of an alcohol-service licence.,"Local tax paid on the grant of a licence to serve alcohol, still levied by some Länder.",yes,1000000,0.000023,0,
